epoch,train_loss,val_loss,val_dice,val_iou
1,1.3391324655641923,1.2471392136067152,0.2524794650817057,0.15308753597855684
2,1.1625749566939303,1.0952053861692548,0.3498823886383917,0.22867036021303022
3,1.0740379524809442,1.0188576113432646,0.36471921781593153,0.2373336699729265
4,1.0048713710940276,0.9987818514928222,0.3962429469582389,0.2604037004828683
5,0.9407977364711992,0.9000352509319782,0.4130831173501974,0.2796621854363366
6,0.8956454887443853,0.9057550909928977,0.44697632992756553,0.30510431254515424
7,0.8511202633897395,0.8586694588884711,0.47158343050205076,0.3294211861862095
8,0.8076787844584348,0.8085983339697123,0.49554191325387364,0.35087517108422617
9,0.7920422369107423,0.7876863470301032,0.4976454317761636,0.35380349913202735
10,0.7766282407621784,0.7972456361167133,0.49554293065023103,0.3561028290497461
11,0.7432415383114145,0.8014111504890025,0.5024600058988824,0.3597417457515064
12,0.7135188670464157,0.7876919978298247,0.4923730336954577,0.34617835152994303
13,0.7015955627636026,0.8387627494521439,0.5014324696903714,0.35752814518582454
14,0.6825954414632953,0.7737777782604098,0.5240597254087334,0.3795464961513062
15,0.6604200458764203,0.7872964539565146,0.5288224224541409,0.38387425095879735
16,0.6371043084037572,0.7889204793609679,0.5298144673212164,0.3817972537577816
17,0.605825958131091,0.8158349306322634,0.5084266661664572,0.3642556452190604
18,0.6188989630811549,0.7898934355471283,0.5267634964230012,0.3810083635881085
19,0.5780518653849382,0.7812407691963017,0.5370331967515085,0.3931124622849893
20,0.5697927473426072,0.7935883444733918,0.5347936100752406,0.3880860342488006
21,0.53469010213942,0.8332367336843163,0.5233879635725316,0.3792938856440742
22,0.5261892243393372,0.8021538204047829,0.52963163829358,0.38664191871598064
23,0.5150592609646002,0.8369459263049066,0.5331063277353678,0.3881620402189583
24,0.4926881324532127,0.8333795103244483,0.5351062420904782,0.3912376287426014
25,0.4884059519040523,0.8385159056633711,0.5351840694584098,0.39032560002851824
26,0.46932779419101917,0.8484028426464647,0.5262598151111888,0.3856917840475944
27,0.4797044177273324,0.8467757147736847,0.5294004830200265,0.3863620637700933
28,0.46557516062331983,0.8353934800252318,0.5409009778322798,0.39660288740742544
29,0.45286756916620496,0.8378362150397152,0.5372764607109275,0.3931202943003882
30,0.4684379377904343,0.8284695253241807,0.5434005388713103,0.3984456476362084
